type,severity,recipe_id,ingredient,problem,field,allergen,quantity,unit,title_fr,count
unknown_ingredient,warning,,acai_puree,,,,,,,1
unknown_ingredient,warning,,almond_butter,,,,,,,2
unknown_ingredient,warning,,anise_seeds,,,,,,,1
unknown_ingredient,warning,,apple_juice,,,,,,,1
unknown_ingredient,error,,applesauce,,,,,,,3
unknown_ingredient,warning,,beluga_lentil,,,,,,,1
unknown_ingredient,warning,,black_eyed_pea,,,,,,,1
unknown_ingredient,warning,,black_sesame_seeds,,,,,,,1
unknown_ingredient,warning,,bouquet_garni,,,,,,,1
unknown_ingredient,warning,,brown_lentils,,,,,,,1
unknown_ingredient,warning,,calvados,,,,,,,1
unknown_ingredient,warning,,candied_fruit,,,,,,,1
unknown_ingredient,error,,caper,,,,,,,6
unknown_ingredient,warning,,cashew_cream,,,,,,,2
unknown_ingredient,warning,,cherry_jam,,,,,,,1
unknown_ingredient,warning,,chervil,,,,,,,1
unknown_ingredient,warning,,chinese_broccoli,,,,,,,2
unknown_ingredient,warning,,chocolate_chips,,,,,,,1
unknown_ingredient,warning,,coconut_vinegar,,,,,,,1
unknown_ingredient,warning,,cognac,,,,,,,1
unknown_ingredient,error,,cream_cheese,,,,,,,4
unknown_ingredient,warning,,curly_endive,,,,,,,1
unknown_ingredient,warning,,dark_chocolate_chips,,,,,,,1
unknown_ingredient,warning,,dark_soy_sauce,,,,,,,2
unknown_ingredient,error,,desiccated_coconut,,,,,,,5
unknown_ingredient,warning,,digestive_biscuit,,,,,,,1
unknown_ingredient,warning,,dried_chickpeas,,,,,,,1
unknown_ingredient,warning,,dried_cranberry,,,,,,,2
unknown_ingredient,warning,,dried_peas,,,,,,,1
unknown_ingredient,warning,,espresso,,,,,,,1
unknown_ingredient,error,,filo_pastry,,,,,,,7
unknown_ingredient,warning,,flageolet_bean,,,,,,,1
unknown_ingredient,warning,,floury_potato,,,,,,,1
unknown_ingredient,warning,,fresh_tome_cheese,,,,,,,2
unknown_ingredient,warning,,galette,,,,,,,1
unknown_ingredient,warning,,gherkin,,,,,,,2
unknown_ingredient,warning,,glutinous_rice_flour,,,,,,,1
unknown_ingredient,warning,,granola,,,,,,,2
unknown_ingredient,error,,green_beans,,,,,,,18
unknown_ingredient,warning,,ground_flaxseed,,,,,,,1
unknown_ingredient,error,,ground_ginger,,,,,,,3
unknown_ingredient,warning,,juniper_berry,,,,,,,1
unknown_ingredient,warning,,kirsch,,,,,,,1
unknown_ingredient,warning,,ladyfinger,,,,,,,2
unknown_ingredient,warning,,lamb_lettuce,,,,,,,1
unknown_ingredient,warning,,light_soy_sauce,,,,,,,2
unknown_ingredient,warning,,marsala,,,,,,,1
unknown_ingredient,warning,,mascarpone,,,,,,,2
unknown_ingredient,warning,,matcha,,,,,,,1
unknown_ingredient,warning,,mixed_berries,,,,,,,1
unknown_ingredient,warning,,mixed_salad,,,,,,,1
unknown_ingredient,warning,,napa_cabbage,,,,,,,2
unknown_ingredient,error,,orange_blossom_water,,,,,,,4
unknown_ingredient,warning,,orange_juice,,,,,,,1
unknown_ingredient,warning,,pearl_sugar,,,,,,,1
unknown_ingredient,warning,,peas,,,,,,,1
unknown_ingredient,warning,,pecorino_romano,,,,,,,1
unknown_ingredient,warning,,pie_dough,,,,,,,2
unknown_ingredient,warning,,plant_yogurt,,,,,,,2
unknown_ingredient,warning,,plum,,,,,,,1
unknown_ingredient,error,,porcini,,,,,,,3
unknown_ingredient,warning,,puy_lentil,,,,,,,1
unknown_ingredient,warning,,raisins,,,,,,,1
unknown_ingredient,warning,,red_bean_paste,,,,,,,1
unknown_ingredient,warning,,red_wine,,,,,,,2
unknown_ingredient,warning,,rhubarb,,,,,,,1
unknown_ingredient,warning,,ricotta_salata,,,,,,,2
unknown_ingredient,warning,,roasted_chickpea,,,,,,,1
unknown_ingredient,error,,rolled_oats,,,,,,,6
unknown_ingredient,warning,,rose_water,,,,,,,1
unknown_ingredient,error,,rum,,,,,,,4
unknown_ingredient,warning,,salted_butter_caramel,,,,,,,1
unknown_ingredient,warning,,sauce,,,,,,,2
