id;titre;dish_type;poids_obtenu_g;rendement;portion_reference_g;servings_actuels;g_par_portion_actuel;kcal_par_portion_actuel;servings_proposes;g_par_portion_propose;kcal_par_portion_propose;valider;servings_valides
base_cashew_ricotta_5c62e9;Ricotta de Cajou;base;249;1.0;30;4;62;297;8;31;148;oui;8
base_vegan_cheddar_024998;Cheddar Végétal;base;280;1.0;30;4;70;251;9;31;112;oui;9
base_coconut_milk_1ebad9;Lait de Coco Maison;beverage;600;1.0;100;4;150;184;6;100;123;oui;6
base_vegetable_broth_303b7d;Bouillon de Légumes;broth;1990;1.0;250;4;498;74;8;249;37;oui;8
base_creme_fraiche_b536c1;Crème Fraîche;condiment;500;1.0;30;4;125;430;17;29;101;oui;17
base_fried_onion_217e6a;Oignon Frit;condiment;226;0.4;30;4;56;184;8;28;92;oui;8
base_ghee_ec9064;Ghee (Beurre Clarifié);condiment;425;0.85;10;4;106;941;42;10;90;oui;42
base_gundruk_94c079;Gundruk (Légume Fermenté Népalais);condiment;336;0.6;50;4;84;42;7;48;24;oui;7
base_ras_el_hanout_7cd544;Ras el Hanout;condiment;51;1.0;5;4;13;39;10;5;16;oui;10
base_za_atar_2badf3;Za'atar;condiment;68;1.0;5;4;17;51;14;5;15;oui;14
base_kashk_fd3ac6;Kashk (Petit-Lait Fermenté);dairy;252;0.5;20;4;63;62;13;19;19;oui;13
base_cheddar_vegane_529b97;Cheddar Végane;ingredient;343;1.0;30;4;86;362;11;31;132;oui;11
base_mozzarella_vegane_fca8c8;Mozzarella Végane;ingredient;349;1.0;30;4;87;153;12;29;51;oui;12
base_curry_paste_49c97f;Pâte de Curry;paste;239;1.0;15;4;60;115;16;15;29;oui;16
base_green_curry_paste_250117;Pâte de Curry Vert Thaï;paste;217;1.0;15;4;54;84;14;15;24;oui;14
chili_paste_95cb92;Pâte de Piment Maison;paste;136;1.0;15;4;34;81;9;15;36;oui;9
red_curry_paste_3ee8f5;Pâte de Curry Rouge Thaï;paste;166;1.0;15;4;41;69;11;15;25;oui;11
tamarind_paste_b740bb;Pâte de Tamarin;paste;280;0.8;15;4;70;92;19;15;19;oui;19
yellow_curry_paste_077f54;Pâte de Curry Jaune;paste;130;1.0;15;4;32;70;9;14;31;oui;9
base_japanese_curry_roux_385e52;Roux Curry Japonais;roux;160;1.0;20;4;40;162;8;20;81;oui;8
base_bechamel_vegane_7a210c;Béchamel Végane;sauce;594;1.0;60;4;148;196;10;59;78;oui;10
base_doubanjiang_paste_340399;Pâte Doubanjiang;sauce;350;1.0;15;8;44;81;23;15;28;oui;23
base_gochujang_41da6e;Gochujang;sauce;235;1.0;15;8;29;64;16;15;32;oui;16
base_harissa_ef842f;Harissa;sauce;195;1.0;15;8;24;78;13;15;48;oui;13
base_laksa_paste_bc7fd5;Pâte de Laksa;sauce;180;1.0;15;8;22;50;12;15;33;oui;12
base_mayonnaise_0d3e4e;Mayonnaise;sauce;277;1.0;15;8;35;237;18;15;105;oui;18
base_oat_cream_954865;Crème d'Avoine Maison;sauce;566;0.85;30;8;71;88;19;30;37;oui;19
base_pate_piment_b6904a;Pâte de Piment;sauce;298;1.0;15;8;37;59;20;15;24;oui;20
base_peanut_butter_81c37b;Beurre de Cacahuète;sauce;303;1.0;15;8;38;221;20;15;88;oui;20
base_pistou_43e29a;Pistou;sauce;222;1.0;20;8;28;139;11;20;101;oui;11
base_ponzu_7479fe;Sauce Ponzu;sauce;210;1.0;15;8;26;21;14;15;12;oui;14
base_soy_cream_4dc027;Crème de Soja Maison;sauce;528;0.85;30;8;66;106;18;29;47;oui;18
base_sriracha_19895c;Sauce Sriracha;sauce;330;1.0;15;8;41;30;22;15;11;oui;22
base_strawberry_jam_1e5515;Confiture de Fraises;sauce;736;0.8;20;8;92;222;37;20;48;oui;37
base_tahini_030e18;Tahini;sauce;232;1.0;15;8;29;185;15;15;99;oui;15
base_teriyaki_03b2ff;Sauce Teriyaki;sauce;170;1.0;15;8;21;35;11;15;25;oui;11
base_tomato_paste_26412f;Concentré de Tomate;sauce;357;0.35;20;8;45;39;18;20;17;oui;18
base_vegan_mayonnaise_b68322;Mayonnaise Végane;sauce;274;1.0;15;8;34;207;18;15;92;oui;18
base_vegetarian_fish_sauce_536a33;Sauce Poisson Végétarienne;sauce;233;1.0;10;8;29;14;23;10;5;oui;23
base_worcestershire_vegan_5f26ec;Sauce Worcestershire Végane;sauce;182;1.0;10;8;23;23;18;10;10;oui;18
salted_butter_caramel_096c73;Caramel au Beurre Salé;sauce;362;1.0;20;8;45;189;18;20;84;oui;18
sauce_vinaigrette_174a79;Vinaigrette;sauce;78;1.0;15;8;10;54;5;16;86;oui;5
